number579
total area 62997.000000
total length 8593.000000
ID area length
144 21.000000 0.000000
145 2.000000 0.000000
146 20.000000 0.000000
147 21.000000 0.000000
148 48.000000 0.000000
149 71.000000 0.000000
150 34.000000 0.000000
151 21.000000 0.000000
152 2955.000000 438.000000
153 56.000000 0.000000
154 26.000000 0.000000
155 384.000000 53.000000
156 3.000000 0.000000
157 2.000000 0.000000
158 233.000000 36.000000
159 4.000000 0.000000
160 18.000000 0.000000
161 1.000000 0.000000
162 61.000000 0.000000
163 204.000000 45.000000
164 266.000000 47.000000
165 2.000000 0.000000
166 5.000000 0.000000
167 467.000000 80.000000
168 58.000000 0.000000
169 22.000000 0.000000
170 20.000000 0.000000
171 2.000000 0.000000
172 21.000000 0.000000
173 64.000000 0.000000
174 2.000000 0.000000
175 19.000000 0.000000
176 21.000000 0.000000
177 55.000000 0.000000
178 582.000000 79.000000
179 134.000000 0.000000
180 27.000000 0.000000
181 29.000000 0.000000
182 7.000000 0.000000
183 21.000000 0.000000
184 32.000000 0.000000
185 2.000000 0.000000
186 2.000000 0.000000
187 45.000000 0.000000
188 62.000000 0.000000
189 20.000000 0.000000
190 4.000000 0.000000
191 463.000000 70.000000
192 1.000000 0.000000
193 21.000000 0.000000
194 20.000000 0.000000
195 6.000000 0.000000
196 1.000000 0.000000
197 28.000000 0.000000
198 2.000000 0.000000
199 2.000000 0.000000
200 1.000000 0.000000
201 2.000000 0.000000
202 6.000000 0.000000
203 2.000000 0.000000
204 29.000000 0.000000
205 100.000000 21.000000
206 21.000000 0.000000
207 25.000000 0.000000
208 2.000000 0.000000
209 5.000000 0.000000
210 2.000000 0.000000
211 1.000000 0.000000
212 3.000000 0.000000
213 8.000000 0.000000
214 43.000000 0.000000
215 2.000000 0.000000
216 42.000000 0.000000
217 21.000000 0.000000
218 23.000000 0.000000
219 4.000000 0.000000
220 88.000000 24.000000
221 53.000000 0.000000
222 22.000000 0.000000
223 28.000000 0.000000
224 15.000000 0.000000
225 11.000000 0.000000
226 64.000000 0.000000
227 106.000000 0.000000
228 1.000000 0.000000
229 64.000000 23.000000
